Transect No,Species,Stage,Sex (if adult)
25-1406,Ixodes scapularis,Nymph,
25-1406,Ixodes scapularis,Nymph,
25-1406,Ixodes scapularis,Nymph,
25-2806,Dermacentor variabilis,Adult,Female
25-2804,Ixodes scapularis,Nymph,
25-2804,Ixodes scapularis,Nymph,
25-2804,Ixodes scapularis,Nymph,
25-2804,Ixodes scapularis,Nymph,
25-0284-1,Ixodes scapularis,Nymph,
25-2922,Haemaphysalis longicornis,Adult,
25-0285,Amblyomma americanum,Adult,Male
25-1405,Ixodes scapularis,Nymph,
25-2805,Ixodes scapularis,Nymph,
25-2805,Ixodes scapularis,Nymph,
25--0272,Haemaphysalis longicornis,Nymph,
25--0272,Haemaphysalis longicornis,Nymph,
25--0272,Haemaphysalis longicornis,Nymph,
25--0272,Haemaphysalis longicornis,Nymph,
25--0272,Haemaphysalis longicornis,Nymph,
25--0272,Haemaphysalis longicornis,Nymph,
25--0272,Amblyomma americanum,Nymph,
25-AD001,Haemaphysalis longicornis,Adult,
25-AD001,Haemaphysalis longicornis,Adult,
25-AD001,Haemaphysalis longicornis,Adult,
25-AD001,Amblyomma americanum,Nymph,
25-AD001,Amblyomma americanum,Nymph,
25-AD001,Amblyomma americanum,Nymph,
25-AD001,Amblyomma americanum,Nymph,
25-2923,Haemaphysalis longicornis,Adult,
25-2923,Haemaphysalis longicornis,Adult,
25-2815,Amblyomma americanum,Nymph,
25-2815,Haemaphysalis longicornis,Nymph,
25-2904,Amblyomma americanum,Nymph,
25-2904,Amblyomma americanum,Nymph,
25-2904,Amblyomma americanum,Nymph,
25-1412,Ixodes scapularis,Nymph,
25-2811,Ixodes scapularis,Nymph,
25-2811,Ixodes scapularis,Nymph,
25-0284,Ixodes scapularis,Nymph,
25-1410,Haemaphysalis longicornis,Adult,
25-1413,Ixodes scapularis,Nymph,
25-1413,Ixodes scapularis,Nymph,
25-1413,Ixodes scapularis,Nymph,
25-2811,Haemaphysalis longicornis,Nymph,
25-2811,Amblyomma americanum,Nymph,
25-2910,Dermacentor variabilis,Adult,Female
25-1500,Haemaphysalis longicornis,Nymph,
25-2812,Amblyomma americanum,Nymph,
25-1411,Ixodes scapularis,Nymph,
25-1411,Ixodes scapularis,Nymph,
25-1411,Ixodes scapularis,Nymph,
25-1507,Amblyomma americanum,Nymph,
25-2925,Amblyomma americanum,Adult,
25-2925,Amblyomma americanum,Adult,
25-0300,Haemaphysalis longicornis,Nymph,
25-0300,Haemaphysalis longicornis,Nymph,
25-0300,Haemaphysalis longicornis,Nymph,
25-0431,Ixodes scapularis,Nymph,
25-0431,Ixodes scapularis,Nymph,
25-0431,Ixodes scapularis,Nymph,
25-0431,Ixodes scapularis,Larva,
25-0431,Amblyomma americanum,Nymph,
25-0431,Amblyomma americanum,Nymph,
25-1511,Amblyomma americanum,Nymph,
25-1511,Haemaphysalis longicornis,Nymph,
25-1407,Haemaphysalis longicornis,Adult,
25-1407,Ixodes scapularis,Nymph,
25-0301,Haemaphysalis longicornis,Nymph,
25-1512,Amblyomma americanum,Nymph,
25-0302,Haemaphysalis longicornis,Adult,
25-0251,Haemaphysalis longicornis,Adult,
25-0251,Haemaphysalis longicornis,Adult,
25-0251,Haemaphysalis longicornis,Nymph,
25-0251,Haemaphysalis longicornis,Nymph,
25-0251,Haemaphysalis longicornis,Nymph,
25-0251,Haemaphysalis longicornis,Nymph,
25-0251,Amblyomma americanum,Nymph,
25-0251,Amblyomma americanum,Nymph,
25-0251,Amblyomma americanum,Nymph,
25-0250,Haemaphysalis longicornis,Nymph,
25-0250,Haemaphysalis longicornis,Nymph,
25-0250,Haemaphysalis longicornis,Nymph,
25-0250,Ixodes scapularis,Nymph,
25-1501,Haemaphysalis longicornis,Adult,
25-1501,Haemaphysalis longicornis,Adult,
25-1501,Haemaphysalis longicornis,Adult,
25-1501,Haemaphysalis longicornis,Nymph,
25-1501,Amblyomma americanum,Nymph,
25-0306,Amblyomma americanum,Adult,
25-0306,Amblyomma americanum,Adult,
25-0306,Amblyomma americanum,Adult,
25-0306,Amblyomma americanum,Adult,
25-0303,Amblyomma americanum,Adult,
25-0303,Haemaphysalis longicornis,Adult,
25-2809,Amblyomma americanum,Adult,
25-2809,Ixodes scapularis,Nymph,
25-1404,Ixodes scapularis,Nymph,
25-1404,Ixodes scapularis,Nymph,
25-1404,Ixodes scapularis,Nymph,
25-1404,Ixodes scapularis,Nymph,
25-1404,Ixodes scapularis,Nymph,
25-1404,Ixodes scapularis,Nymph,
25-1404,Ixodes scapularis,Nymph,
25-1404,Ixodes scapularis,Nymph,
25-1404,Ixodes scapularis,Nymph,
25-1404,Ixodes scapularis,Nymph,
25-1404,Ixodes scapularis,Nymph,
25-1404,Ixodes scapularis,Nymph,
25-1404,Ixodes scapularis,Nymph,
25-1404,Ixodes scapularis,Nymph,
25-1404,Amblyomma americanum,Nymph,
25-0252,Haemaphysalis longicornis,Nymph,
25-0252,Haemaphysalis longicornis,Nymph,
25-0252,Haemaphysalis longicornis,Nymph,
25-0252,Amblyomma americanum,Adult,
25-2924,Dermacentor variabilis,Adult,
25-0304,Dermacentor variabilis,Adult,Male
25-0304,Dermacentor variabilis,Adult,Male
25-0304,Dermacentor variabilis,Adult,Male
25-0304,Dermacentor variabilis,Adult,Female
25-0304,Dermacentor variabilis,Adult,Female
25-0304,Dermacentor variabilis,Adult,Female
25-AD002,Dermacentor variabilis,Adult,Female
25-AD002,Dermacentor variabilis,Adult,Female
25-AD002,Dermacentor variabilis,Adult,Female
25-AD002,Amblyomma americanum,Nymph,
25-AD002,Amblyomma americanum,Nymph,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Unknown,Larva,
25-AD002,Ixodes scapularis,Nymph,
25-0291,Amblyomma americanum,Nymph,
25-0271,Haemaphysalis longicornis,Nymph,
25-0271,Haemaphysalis longicornis,Nymph,
25-0271,Haemaphysalis longicornis,Nymph,
25-0271,Haemaphysalis longicornis,Nymph,
25-0271,Haemaphysalis longicornis,Nymph,
25-0271,Haemaphysalis longicornis,Nymph,
25-0271,Haemaphysalis longicornis,Nymph,
25-0271,Haemaphysalis longicornis,Nymph,
25-0271,Haemaphysalis longicornis,Nymph,
25-0271,Haemaphysalis longicornis,Nymph,
